Title,Artist,Year,Rank,Lyrics
One Too Many,Keith Urban,2021,81,"[Intro: P!nk]Yeah, yeah[Verse 1: Keith Urban]I don't remember much about last nightWoke up on a couch sun-riseSaw the living roomThrough these bloodshot eyes of mine, cold soberYou didn’t like that I came home late4 AM but it's a Friday, babeAnd I've been working hardCan't you give me some space 'stead of shouting out, ""Oh my God""?[Pre-Chorus: Keith Urban & P!nk]Oh-oh, ooh-yeahOh-oh, ooh-yeahI go out with some new friendsBut it just makes me miss you more, more[Chorus: Keith Urban & P!nk]I spend all my money drinking on my own, yeahIn this bar, just sat here staring at my phoneAnd I keep second guessing, where did I go wrong?I know I'm proudBut I've had one too manyCome take me home"
Arcade,Duncan Laurence,2021,82,"[Verse 1]A broken heart is all that's leftI'm still fixing all the cracksLost a couple of pieces whenI carried it, carried it, carried it homeI'm afraid of all I amMy mind feels like a foreign landSilence ringing inside my headPlease, carry me, carry me, carry me home[Pre-Chorus]I've spent all of the love I savedWe were always a losing gameSmall-town boy in a big arcadeI got addicted to a losing game[Chorus]Oh-oh-oh-oh, oh-oh-oh-ohAll I know, all I knowLoving you is a losing game[Verse 2]How many pennies in the slot?Giving us up didn't take a lotI saw the end 'fore it begunStill I carried, I carried, I carry on"
Yonaguni,Bad Bunny,2021,83,"[Letra de ""Yonaguni""][Intro]Yeah-yeah-yeah-yeahYeah-yeah-yeah-yeah-yeah-yeahYeah-yeah-yeah-eh, yeah[Pre-Coro]Una noche más y copas de másTú no me dejas en paz, de mi mente no te vas[Coro]Aunque sé que no debo, eyPensar en ti, bebé, pero cuando beboMe viene tu nombre, tu cara, tu risa y tu pelo, eyDime dónde tú está', que yo por ti cojo un vueloY a Yonaguni le llego, ohAunque sé que no debo, eyPensar en ti, bebé, pero cuando beboMe viene tu nombre, tu cara, tu risa y tu pelo, eyDime dónde tú está', que yo por ti cojo un vueloY a Yonaguni le llego, ey[Verso 1]No me busque' en Instagram, mami, búscame en casaPa' que vea' lo que pasa, eySi tú me prueba', te casa', eyEse cabrón ni te abrazaY yo loco por tocartePero ni me atrevo a textearteTú con cualquier outfit la parte'Mami, tú ere' aparteShorty, tiene' un culo bien grande, ehDe-Demasia'o grandeY yo lo tengo estudia'o, ya mismo me gradúoY en la cara me lo tatúoVi que viste mi story y subiste una pa' míYo que me iba a dormir, eyEn la disco habían milY yo bailando contigo en mi mente"
Good Time,Niko Moon,2021,84,"[Chorus]We just tryna catch a good timeEven if it takes all nightPass that bottle 'round the campfireSippin' apple pie moonshineYeah, we pickin' on them guitars just rightEverybody singin' ""Dixieland Delight""Like a bobber on a wet lineWe just tryna catch a good time[Verse 1]Eighty degrees and the sun ain't even outWe got a spot a couple miles outta townWhen that moon comes up, you know what's goin' downWe got them foldin' chairs leanin way backNo other plans other than relaxWe ain't worried 'bout tomorrow from where we at[Chorus]We just tryna catch a good timeEven if it takes all nightPass that bottle 'round the campfireSippin' apple pie moonshineYeah, we pickin' on them guitars just rightEverybody singing Dixieland DelightLike a bobber on a wet lineWe just tryna catch a good time"
If I Didn't Love You,Jason Aldean,2021,85,"[Verse 1: Jason Aldean]I wouldn't mind bein' aloneI wouldn't keep checkin' my phoneWouldn't take the long way homeJust to drive myself crazyI wouldn't be losin' sleepRememberin' everythingEverything you said to meLike I'm doin' lately[Pre-Chorus: Jason Aldean]You, you wouldn't be allAll that I wantBaby, I could let go[Chorus: Jason Aldean & Carrie Underwood]If I didn't love you I'd be good by nowI'd be better than barely gettin' by somehowYeah, it would be easy not to miss youWonder about who's with youTurn the want you off whenever I want toIf I didn't love youIf I didn't love you[Verse 2: Carrie Underwood & Jason Aldean]I wouldn't still cry sometimesWouldn't have to fake a smilePlay it off and tell a lieWhen somebody asked how I've beenI'd try to find someone new (Someone new)It should be somethin' I can do (I can do)Baby, if it weren't for youI wouldn't be in the state that I'm in"
Knife Talk,Drake,2021,86,"[Intro: Project Pat & 21 Savage]I gotta feed the streets, my pistol gon' bleed the streetsSki mask on my face, sometimes you got to cheatTo stay ahead in this bitch-ard (Gang), drank syrup like it's liquorStreet life'll have you catchin' up to God quicker (Yeah, gang)Sticker, AK-40 to your liverLet the chopper bang on you like a Blood or a Cripper (Gang)Flipper, so much bread, I'm a gymnastMade so much money off of dummies, off of dummies (Yeah, gang)[Verse 1: 21 Savage]I'm mister body catcher, Slaughter Gang soul snatcherAin't no regular F-150, this a fuckin' RaptorNo capper, street nigga, not a rapperChopper hit him and he turned into a booty clapperSmith & Wesson, I'm 4L Gang reppin'We done baptized morе niggas than the damn reverеnd (Yeah)Kappa Alpha, me and my gang, we do all the steppin'Who you checkin'? This FN shoot East to West End (Gang)[Verse 2: Drake]YeahI heard Papi outsideAnd he got the double-R droppy outsideChecked the weather and it's gettin' real oppy outsideI'ma drop this shit and have these pussies droppin' like some motherfuckin' fliesType of nigga that can't look me in the eyesI despiseWhen I see you, better put that fuckin' pride to the sideMany times, plenty times, I survivedBeef is live, spoiler alert, this nigga dies"
POV,Ariana Grande,2021,87,"[Verse 1]It's like you got superpowersTurn my minutes into hoursYou got more than 20/20, babeMade of glass, the way you see through meYou know me better than I doCan't seem to keep nothing from youHow you touch my soul from the outsidePermeate my ego and my pride[Chorus]I wanna love me (Ooh)The way that you love me (Ooh)Ooh, for all of my pretty and all of my ugly tooI'd love to see me from your point of viewI wanna trust me (Trust me)The way that you trust me (Trust me)Ooh, 'cause nobody ever loved me like you doI'd love to see me from your point of view[Verse 2]I'm gеtting used to receivingStill gеtting good at not leavingI'ma love you even though I'm scared (Oh, scared)Learnin' to be grateful for myself (Oh, oh, oh)You love my lips 'cause they say theThings we've always been afraid ofI can feel it startin' to subsideLearnin' to believe in what is mine"
Just the Way,Parmalee,2021,88,"[Intro: Parmaelee]I love you just the way God made youGirl, he don't make mistakesWhat you call your imperfectionsI call beautiful babeTell em Blanc[Verse 1: Blanco Brown]The way your hair’s in a mess in the morning when you open your eyesThe way an hour goes by when you say that you'll be ready in five(Yeah, uh)The little dimple on the side of your smile  when you're laughing at a movie that you’ve seen about a thousand timesYou know girl that I can't lie[Chorus: Blanco Brown & Parmalee]I love you just the way God made youGirl, He don't make mistakesWhat you call your imperfectionsI call beautiful babeSo let my eyes be your mirrorAnd you're bound to see it too‘Cause I was made for lovin'Just the way God made youGod made you(Just the way, just the way, just the way, just the way God made you)God made you(Just the way, just the way, just the way, just the way God made you)"
Take My Breath,The Weeknd,2021,89,"[Verse 1]I saw the fire in your eyesI saw the fire when I look into your eyesYou tell me things you wanna try (Uh)I know temptation is the devil in disguiseYou risk it all to feel alive, oh yeahYou're offering yourself to me like sacrificeYou said you do this all the timeTell me you love me if I bring you to the light[Pre-Chorus]It's like a dream what she feels with meShe loves to be on the edgeHer fantasy is okay with meThen suddenly, baby says[Chorus]Take my breath awayAnd make it last forever, babeDo it now or never, babe (Ah)Take my breath awayNobody does it better, babeBring me close to—[Verse 2]Want me to hold on to you tightYou pull me closer, feel the heat between your thighs (Uh, say)You're way too young to end your life (Huh)Girl, I don't wanna be the one who pays the price"
We're Good,Dua Lipa,2021,90,"[Verse 1]I'm on an island, even when you're closeCan't take the silence, I'd rather be alone[Pre-Chorus]I think it's pretty plain and simple, we gave it all we couldIt's time I wave goodbye from the windowLet's end this like we should and say we're good[Chorus]We're not meant to be, like sleeping and cocaineSo let's at least agree to go our separate waysNot gonna judge you when you're with somebody elseAs long as you swear you won't be pissed when I do it myselfLet's end it like we should and say we're good[Verse 2]No need to hide it, go get what you wantThis won't be a burden if we both don't hold a grudge[Pre-Chorus]I think it's pretty plain and simple, we gave it all we couldIt's time I wave goodbye from the windowLet's end this like we should and say we're good[Chorus]We're not meant to be, like sleeping and cocaineSo let's at least agree to go our separate waysNot gonna judge you when you're with somebody elseAs long as you swear you won't be pissed when I do it myselfLet's end it like we should and say we're good"
