Title,Artist,Year,Rank,Lyrics
Bridge Over Troubled Water,Simon & Garfunkel,1970,1,[Verse 1]When you're wearyFeeling smallWhen tears are in your eyesI will dry them allI'm on your sideWhen times get roughAnd friends just can't be found[Chorus]Like a bridge over troubled waterI will lay me downLike a bridge over troubled waterI will lay me down[Verse 2]When you're down and outWhen you're on the streetWhen evening falls so hardI will comfort youI'll take your partWhen darkness comesAnd pain is all around[Chorus]Like a bridge over troubled waterI will lay me downLike a bridge over troubled waterI will lay me down
(They Long to Be) Close to You,The Carpenters,1970,2,"[Verse 1]Why do birds suddenly appearEvery time you are near?Just like me, they long to beClose to you[Verse 2]Why do stars fall down from the skyEvery time you walk by?Just like me, they long to beClose to you[Chorus]On the day that you were bornThe angels got togetherAnd decided to create a dream come trueSo they sprinkled moon dust in your hair of goldAnd starlight in your eyes of blue[Verse 3]That is why all the girls in town (Girls in town)Follow you (Follow you) all around (All around)Just like me, they long to beClose to you[Vocalizing]Ah-ah-aaahAh-ah-ah-ahAh-ah-aaah"
American Woman,The Guess Who,1970,3,"[Intro]American woman gonna mess your mindAmerican woman, she gonna mess your mindMm, American woman gonna mess your mindMm, American woman gonna mess your mindSay ASay MSay ESay RSay ICSay AN, mmmAmerican woman gonna mess your mindMm, American woman gonna mess your mindUh, American woman gonna mess your mindUh![Verse 1]American woman, stay away from meAmerican woman, mama, let me beDon't come a-hangin' around my doorI don't wanna see your face no moreI got more important things to doThan spend my time growin' old with youNow woman, I said stay awayAmerican woman, listen what I say"
Raindrops Keep Fallin' on My Head,B.J. Thomas,1970,4,[Verse 1]Raindrops are fallin' on my headAnd just like the guy whose feetAre too big for his bedNothin' seems to fitThose raindrops are fallin' on my headThey keep fallin'[Verse 2]So I just did me some talkin' to the sunAnd I said I didn't likeThe way he got things doneSleepin' on the jobThose raindrops are fallin' on my headThey keep fallin'[Bridge]But there's one thing I knowThe blues they send to meet meWon't defeat meIt won't be long 'til happinessSteps up to greet me[Verse 3]Raindrops keep fallin' on my headBut that doesn't mean my eyesWill soon be turnin' redCrying's not for me'Cause I'm never gonna stop the rainBy complainin'Because I'm freeNothing's worryin' me
War,Edwin Starr,1970,5,"[Intro](War, huh) Yeah!(What is it good for?) Absolutely nothing, uhuh(War, huh) Yeah!(What is it good for?) Absolutely nothingSay it again, y'all!(War, huh) Lookout!(What is it good for?) Absolutely nothingListen to me, awwwww![Verse 1]War I despise'Cause it means destruction of innocent livesWar means tears to thousands of mothers' eyesWhen their sons go out to fight and lose their livesI said[Hook](War, huh) Good God y'all(What is it good for?) Absolutely nothing, say it again(War, huh) Lord, lord, lord, lord(What is it good for?) Absolutely nothingListen to me![Verse 2](War), It ain't nothing but a heartbreaker(War), Friend only to the undertaker, awwwwWar is the enemy of all mankindThe thought of war blows my mindWar has caused unrest, within the younger generationInduction then destructionWho wants to die?Awwww!"
Ain't No Mountain High Enough,Diana Ross,1970,6,"[Verse 1:]If you need me, call meNo matter where you areNo matter how farJust call my nameI'll be there in a hurryOn that you can depend and never worryYou see, my love is aliveIt's like a seed that only needs the thought of you to growSo if you feel the need for companyPlease, my darling, let it be me[Verse 2:]I may not be able to expressThe depth of the love I feel for youBut a writer put it very nicelyWhen he was away from the one he lovedHe sat down and wrote these words[Bridge:]No wind, (no wind) no rain, (no rain)Nor winter's coldCan stop me, babe (oh, babe) baby (baby)If you're my goalNo wind, no rainCan stopIf you want to go"
I'll Be There,The Jackson 5,1970,7,"[Verse 1: Michael Jackson]You and I must make a pactWe must bring salvation backWhere there is love, I'll be there (I'll be there)I'll reach out my hand to youI'll have faith in all you doJust call my name and I'll be there (I'll be there)[Chorus: Jermaine Jackson]And oh, I'll be there to comfort youBuild my world of dreams around you, I'm so glad that I found youI'll be there with a love that's strongI'll be your strength, I'll keep holding on(Holdin' on, holdin' on, holdin' on) Yes I will, yes I will[Verse 2: Michael Jackson]Let me fill your heart with joy and laughterTogetherness, girl, is all I'm afterWhenever you need me, I'll be there (I'll be there)I'll be there to protect you (Yeah, baby)With an unselfish love that respects youJust call my name and I'll be there (I'll be there)[Chorus: Jermaine Jackson]And oh, I'll be there to comfort youBuild my world of dreams around you, I'm so glad that I found youI'll be there with a love that's strongI'll be your strength, I'll keep holding onHoohoo (Holdin' on, holdin' on, holdin' on) Yes I will, yes I will"
Get Ready,Rare Earth,1970,8,"Never met a girl could make me feel the way that you doYou're alrightWhenever I'm asked what makes my dreams realI tell 'em you doYou're outta' sightWell twiddley dee, twiddley dumLook out baby cause here I comeI'm bringing you a love that's trueGet ready, get readyStart makin' love to youGet ready, get readyGet ready, cause here I comeGet ready, cause here I comeYou wanna' play hide and seek with love, let me remind youYou're alrightLovin' you're gonna' miss, and the time it takes to find youYou're outta' sightWell fee fi, fo fo fumLook out baby, cause here I comeI'm bringing you a love that's trueGet ready, get readyStart makin' love to youGet ready, get readyGet ready, cause here I comeGet ready, cause here I come"
Let It Be,The Beatles,1970,9,"[Verse 1]When I find myself in times of trouble, Mother Mary comes to meSpeaking words of wisdom, ""Let it be""And in my hour of darkness, she is standing right in front of meSpeaking words of wisdom, ""Let it be""[Chorus]Let it be, let it be, let it be, let it beWhisper words of wisdom, let it be[Verse 2]And when the brokenhearted people living in the world agreeThere will be an answer, let it beFor though they may be parted, there is still a chance that they will seeThere will be an answer, let it be[Chorus]Let it be, let it be, let it be, let it beYeah, there will be an answer, let it beLet it be, let it be, let it be, let it beWhisper words of wisdom, let it be[Instrumental Bridge][Chorus]Let it be, let it be, let it be, yeah, let it beWhisper words of wisdom, let it be"
Band of Gold,Freda Payne,1970,10,"[Intro][Chorus]Now that you're goneAll that's left is a band of goldAll that's left of the dreams I holdIs a band of goldAnd the memories of what love could beIf you were still here with me[Verse 1]You took me from the shelter of my MotherI had never known or love any otherWe kissed after taking vowsBut that night of the honeymoonWe stayed in separate rooms[Verse 2]I'd wait in the darkness of my lonely roomFilled with sadness, filled with gloomHoping soonThat you'd walk back through that doorAnd love me like you tried before[Chorus]Since you've been goneAll that's left is a band of goldAll that's left of the dreams I holdIs a band of goldAnd the dream of what love could beIf you were just here, here with me"
